,cpu_name,n_cores,cpu_frequency
275,Processador Intel® Core™ i7-11700F,8,4.90 GHz
276,Processador Intel® Core™ i7-11700K,8,5.00 GHz
277,Processador Intel® Core™ i7-11700KF,8,5.00 GHz
278,Processador Intel® Core™ i7-11700T,8,4.60 GHz
279,Processador Intel® Core™ i9-11900,8,5.20 GHz
280,Processador Intel® Core™ i9-11900F,8,5.20 GHz
281,Processador Intel® Core™ i9-11900K,8,5.30 GHz
282,Processador Intel® Core™ i9-11900KF,8,5.30 GHz
283,Processador Intel® Core™ i9-11900T,8,4.90 GHz
284,Processador Intel® Core™ i3-10100Y,2,3.90 GHz
285,Processador Intel® Core™ i5-11300H,4,4.40 GHz
286,Processador Intel® Core™ i5-1140G7,4,4.20 GHz
287,Processador Intel® Core™ i5-1145G7,4,4.40 GHz
288,Processador Intel® Core™ i7-11370H,4,4.80 GHz
289,Processador Intel® Core™ i7-11375H,4,5.00 GHz
290,Processador Intel® Core™ i7-1180G7,4,4.60 GHz
291,Processador Intel® Core™ i5-10500H,6,4.50 GHz
292,Processador Intel® Core™ i3-10100F,4,4.30 GHz
293,Processador Intel® Core™ i3-1115G4E,2,3.90 GHz
294,Processador Intel® Core™ i3-1115GRE,2,3.90 GHz
295,Processador Intel® Core™ i3-1120G4,4,3.50 GHz
296,Processador Intel® Core™ i3-1125G4,4,3.70 GHz
297,Processador Intel® Core™ i3-1125G4,4,3.70 GHz
298,Processador Intel® Core™ i5-1145G7E,4,4.10 GHz
299,Processador Intel® Core™ i5-1145GRE,4,4.10 GHz
300,Processador Intel® Core™ i7-1185G7E,4,4.40 GHz
301,Processador Intel® Core™ i7-1185GRE,4,4.40 GHz
302,Processador Intel® Core™ i7-10870H,8,5.00 GHz
303,Processador Intel® Core™ i3-1110G4,2,3.90 GHz
304,Processador Intel® Core™ i3-1115G4,2,4.10 GHz
305,Processador Intel® Core™ i3-1115G4,2,4.10 GHz
306,Processador Intel® Core™ i5-1130G7,4,4.00 GHz
307,Processador Intel® Core™ i5-1135G7,4,4.20 GHz
308,Processador Intel® Core™ i5-1135G7,4,4.20 GHz
309,Processador Intel® Core™ i7-1160G7,4,4.40 GHz
310,Processador Intel® Core™ i7-1165G7,4,4.70 GHz
311,Processador Intel® Core™ i7-1165G7,4,4.70 GHz
312,Processador Intel® Core™ i7-1185G7,4,4.80 GHz
313,Processador Intel® Core™ i5-10200H,4,4.10 GHz
314,Processador Intel® Core™ i9-10850K,10,5.20 GHz
315,Processador Intel® Core™ i3-L13G4,5,2.80 GHz
316,Processador Intel® Core™ i5-L16G7,5,3.00 GHz
317,Processador Intel® Core™ i5-10310U,4,4.40 GHz
318,Processador Intel® Core™ i7-10610U,4,4.90 GHz
319,Processador Intel® Core™ i7-10810U,6,4.90 GHz
320,Processador Intel® Core™ i9-10885H,8,5.30 GHz
321,Processador Intel® Core™ i3-10100,4,4.30 GHz
322,Processador Intel® Core™ i3-10100E,4,3.80 GHz
323,Processador Intel® Core™ i3-10100T,4,3.80 GHz
324,Processador Intel® Core™ i3-10100TE,4,3.60 GHz
325,Processador Intel® Core™ i3-10300,4,4.40 GHz
326,Processador Intel® Core™ i3-10300T,4,3.90 GHz
327,Processador Intel® Core™ i3-10320,4,4.60 GHz
328,Processador Intel® Core™ i5-10400,6,4.30 GHz
329,Processador Intel® Core™ i5-10400F,6,4.30 GHz
330,Processador Intel® Core™ i5-10400T,6,3.60 GHz
331,Processador Intel® Core™ i5-10500,6,4.50 GHz
332,Processador Intel® Core™ i5-10500E,6,4.20 GHz
333,Processador Intel® Core™ i5-10500T,6,3.80 GHz
334,Processador Intel® Core™ i5-10500TE,6,3.70 GHz
335,Processador Intel® Core™ i5-10600,6,4.80 GHz
336,Processador Intel® Core™ i5-10600K,6,4.80 GHz
337,Processador Intel® Core™ i5-10600KF,6,4.80 GHz
338,Processador Intel® Core™ i5-10600T,6,4.00 GHz
339,Processador Intel® Core™ i7-10700,8,4.80 GHz
340,Processador Intel® Core™ i7-10700E,8,4.50 GHz
341,Processador Intel® Core™ i7-10700F,8,4.80 GHz
342,Processador Intel® Core™ i7-10700K,8,5.10 GHz
343,Processador Intel® Core™ i7-10700KF,8,5.10 GHz
344,Processador Intel® Core™ i7-10700T,8,4.50 GHz
345,Processador Intel® Core™ i7-10700TE,8,4.40 GHz
346,Processador Intel® Core™ i9-10900,10,5.20 GHz
347,Processador Intel® Core™ i9-10900E,10,4.70 GHz
348,Processador Intel® Core™ i9-10900F,10,5.20 GHz
349,Processador Intel® Core™ i9-10900K,10,5.30 GHz
350,Processador Intel® Core™ i9-10900KF,10,5.30 GHz
351,Processador Intel® Core™ i9-10900T,10,4.60 GHz
352,Processador Intel® Core™ i9-10900TE,10,4.50 GHz
353,Processador Intel® Core™ i5-10300H,4,4.50 GHz
354,Processador Intel® Core™ i5-10400H,4,4.60 GHz
355,Processador Intel® Core™ i7-10750H,6,5.00 GHz
356,Processador Intel® Core™ i7-10850H,6,5.10 GHz
357,Processador Intel® Core™ i7-10875H,8,5.10 GHz
358,Processador Intel® Core™ i9-10980HK,8,5.30 GHz
359,Processador Intel® Core™ i9-9900KS,8,5.00 GHz
360,Processador Intel® Core™ i9-10900X série X,10,4.50 GHz
361,Processador Intel® Core™ i9-10920X série X,12,4.60 GHz
362,Processador Intel® Core™ i9-10940X série X,14,4.60 GHz
363,Processador Intel® Core™ i9-10980XE Extreme Edition,18,4.60 GHz
364,Processador Intel® Core™ i3-8140U,2,3.90 GHz
365,Processador Intel® Core™ i5-8260U,4,3.90 GHz
366,Processador Intel® Core™ i3-10110U,2,4.10 GHz
367,Processador Intel® Core™ i3-10110Y,2,4.00 GHz
368,Processador Intel® Core™ i5-10210U,4,4.20 GHz
369,Processador Intel® Core™ i5-10210Y,4,4.00 GHz
370,Processador Intel® Core™ i5-10310Y,4,4.10 GHz
371,Processador Intel® Core™ i7-10510U,4,4.90 GHz
372,Processador Intel® Core™ i7-10510Y,4,4.50 GHz
373,Processador Intel® Core™ i7-10710U,6,4.70 GHz
374,Processador Intel® Core™ i3-1005G1,2,3.40 GHz
375,Processador Intel® Core™ i5-1035G1,4,3.60 GHz
376,Processador Intel® Core™ i5-1035G4,4,3.70 GHz
377,Processador Intel® Core™ i5-1035G7,4,3.70 GHz
378,Processador Intel® Core™ i7-1065G7,4,3.90 GHz
379,Processador Intel® Core™ i5-8257U,4,3.90 GHz
380,Processador Intel® Core™ i7-8557U,4,4.50 GHz
381,Processador Intel® Core™ i3-9100E,4,3.70 GHz
382,Processador Intel® Core™ i3-9100HL,4,2.90 GHz
383,Processador Intel® Core™ i3-9100TE,4,3.20 GHz
384,Processador Intel® Core™ i5-9500E,6,4.20 GHz
385,Processador Intel® Core™ i7-9700E,8,4.40 GHz
386,Processador Intel® Core™ i7-9700TE,8,3.80 GHz
387,Processador Intel® Core™ i7-9850HE,6,4.40 GHz
388,Processador Intel® Core™ i7-9850HL,6,4.10 GHz
389,Processador Intel® Core™ i5-8279U,4,4.10 GHz
390,Processador Intel® Core™ i7-8569U,4,4.70 GHz
391,Processador Intel® Core™ i3-9100,4,4.20 GHz
392,Processador Intel® Core™ i3-9100F,4,4.20 GHz
393,Processador Intel® Core™ i3-9100T,4,3.70 GHz
394,Processador Intel® Core™ i3-9300,4,4.30 GHz
395,Processador Intel® Core™ i3-9300T,4,3.80 GHz
396,Processador Intel® Core™ i3-9320,4,4.40 GHz
397,Processador Intel® Core™ i3-9350K,4,4.60 GHz
