,cpu_name,n_cores,cpu_frequency
939,Processador Intel® Core™ i7-2649M,2,3.20 GHz
940,Processador Intel® Core™ i7-2657M,2,2.70 GHz
941,Processador Intel® Core™ i7-990X Extreme Edition,6,3.73 GHz
942,Processador Intel® Core™ i5-2300,4,3.10 GHz
943,Processador Intel® Core™ i5-2400,4,3.40 GHz
944,Processador Intel® Core™ i5-2400S,4,3.30 GHz
945,Processador Intel® Core™ i5-2500,4,3.70 GHz
946,Processador Intel® Core™ i5-2500K,4,3.70 GHz
947,Processador Intel® Core™ i5-2500S,4,3.70 GHz
948,Processador Intel® Core™ i5-2500T,4,3.30 GHz
949,Processador Intel® Core™ i7-2600,4,3.80 GHz
950,Processador Intel® Core™ i7-2600K,4,3.80 GHz
951,Processador Intel® Core™ i7-2600S,4,3.80 GHz
952,Processador Intel® Core™ i7-2630QM,4,2.90 GHz
953,Processador Intel® Core™ i7-2635QM,4,2.90 GHz
954,Processador Intel® Core™ i7-2710QE,4,3.00 GHz
955,Processador Intel® Core™ i7-2715QE,4,3.00 GHz
956,Processador Intel® Core™ i7-2720QM,4,3.30 GHz
957,Processador Intel® Core™ i7-2820QM,4,3.40 GHz
958,Processador Intel® Core™ i7-2920XM Extreme Edition,4,3.50 GHz
959,Processador Intel® Core™ i3-2310E,2,
960,Processador Intel® Core™ i3-390M,2,
961,Processador Intel® Core™ i5-480M,2,2.93 GHz
962,Processador Intel® Core™ i3-380UM,2,
963,Processador Intel® Core™ i5-470UM,2,1.86 GHz
964,Processador Intel® Core™ i3-560,2,
965,Processador Intel® Core™ i5-760,4,3.33 GHz
966,Processador Intel® Core™ i3-370M,2,
967,Processador Intel® Core™ i3-380M,2,
968,Processador Intel® Core™ i5-460M,2,2.80 GHz
969,Processador Intel® Core™ i5-560M,2,3.20 GHz
970,Processador Intel® Core™ i5-560UM,2,2.13 GHz
971,Processador Intel® Core™ i5-580M,2,3.33 GHz
972,Processador Intel® Core™ i7-640M,2,3.46 GHz
973,Processador Intel® Core™ i7-660LM,2,3.06 GHz
974,Processador Intel® Core™ i7-680UM,2,2.53 GHz
975,Processador Intel® Core™ i7-740QM,4,2.93 GHz
976,Processador Intel® Core™ i7-840QM,4,3.20 GHz
977,Processador Intel® Core™ i7-940XM Extreme Edition,4,3.33 GHz
978,Processador Intel® Core™ i7-970,6,3.46 GHz
979,Processador Intel® Core™ i3-550,2,
980,Processador Intel® Core™ i5-655K,2,3.46 GHz
981,Processador Intel® Core™ i7-875K,4,3.60 GHz
982,Processador Intel® Core™ i7-880,4,3.73 GHz
983,Processador Intel® Core™ i3-330UM,2,
984,Processador Intel® Core™ i5-430UM,2,1.73 GHz
985,Processador Intel® Core™ i5-540UM,2,2.00 GHz
986,Processador Intel® Core™ i7-660UM,2,2.40 GHz
987,Processador Intel® Core™ i5-450M,2,2.66 GHz
988,Processador Intel® Core™ i5-680,2,3.86 GHz
989,Processador Intel® Core™ i7-870S,4,3.60 GHz
990,Processador Intel® Core™ i7-980X Extreme Edition,6,3.60 GHz
991,Processador Intel® Core™ i3-530,2,
992,Processador Intel® Core™ i3-540,2,
993,Processador Intel® Core™ i5-520E,2,2.93 GHz
994,Processador Intel® Core™ i5-520M,2,2.93 GHz
995,Processador Intel® Core™ i5-520UM,2,1.87 GHz
996,Processador Intel® Core™ i7-610E,2,3.20 GHz
997,Processador Intel® Core™ i7-620LE,2,2.80 GHz
998,Processador Intel® Core™ i7-620UE,2,2.13 GHz
999,Processador Intel® Core™ i7-640UM,2,2.27 GHz
